,index,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,0,frozenset({358}),frozenset({28478}),0.0005840707964601769,0.004230088495575221,0.0001238938053097345,0.2121212121212121,50.145809560035495,0.00012142313415302686,1.2638618107556159
1,1,frozenset({358}),frozenset({67654}),0.0005840707964601769,0.004353982300884956,8.849557522123894e-05,0.15151515151515152,34.799211628479924,8.595254131098755e-05,1.1734399494311
2,2,frozenset({487}),frozenset({44944}),0.0007079646017699115,0.015115044247787613,0.00010619469026548672,0.15,9.923887587822014,9.549377398386718e-05,1.158688183237897
3,3,frozenset({487}),frozenset({81509}),0.0007079646017699115,0.04389380530973451,0.00014159292035398232,0.2,4.556451612903227,0.00011051765995771009,1.1951327433628318
4,4,frozenset({549}),frozenset({117825}),0.0006725663716814159,0.02849557522123894,8.849557522123894e-05,0.13157894736842107,4.6175220660346525,6.933040958571539e-05,1.1187020648967552
5,5,frozenset({66239}),frozenset({746}),0.0012212389380530974,0.005309734513274336,0.00017699115044247788,0.14492753623188406,27.294685990338174,0.00017050669590414286,1.1632818359082049
6,6,frozenset({13778}),frozenset({1018}),0.002849557522123894,0.003539823008849557,0.0004070796460176991,0.14285714285714285,40.357142857142854,0.00039699271673584465,1.162536873156342
7,7,frozenset({1018}),frozenset({13778}),0.003539823008849557,0.002849557522123894,0.0004070796460176991,0.115,40.357142857142854,0.00039699271673584465,1.1267236638168092
8,8,frozenset({1018}),frozenset({64593}),0.003539823008849557,0.008902654867256637,0.0005486725663716814,0.155,17.410536779324055,0.0005171587438327198,1.172896266429282
9,9,frozenset({1018}),frozenset({106829}),0.003539823008849557,0.01352212389380531,0.000495575221238938,0.14,10.353403141361255,0.0004477092959511316,1.1470672977979008
10,10,frozenset({181010}),frozenset({1018}),0.0006548672566371683,0.003539823008849557,0.00014159292035398232,0.2162162162162162,61.081081081081074,0.00013927480617119588,1.271345743057675
11,11,frozenset({59823}),frozenset({1355}),0.0006194690265486724,0.007610619469026548,8.849557522123894e-05,0.14285714285714288,18.770764119601328,8.378103218732869e-05,1.1577876106194689
12,12,frozenset({1355}),frozenset({81509}),0.007610619469026548,0.04389380530973451,0.000831858407079646,0.10930232558139537,2.490153788447112,0.0004977993578197198,1.0734351533076087
13,13,frozenset({271013}),frozenset({1355}),0.0006725663716814159,0.007610619469026548,8.849557522123894e-05,0.13157894736842107,17.28886168910649,8.33769284987078e-05,1.1427514078841512
14,14,frozenset({290469}),frozenset({1355}),0.0009380530973451328,0.007610619469026548,0.00015929203539823012,0.169811320754717,22.31241772707328,0.00015215287023259455,1.1953781174577631
15,15,frozenset({1411}),frozenset({181229}),0.00044247787610619474,0.01886725663716814,8.849557522123894e-05,0.2,10.600375234521577,8.014723157647428e-05,1.2264159292035397
16,16,frozenset({1411}),frozenset({181232}),0.00044247787610619474,0.03527433628318584,0.00014159292035398232,0.32,9.07175112895133,0.00012598480695434253,1.4187142113482565
17,17,frozenset({1413}),frozenset({41639}),0.0012035398230088494,0.008867256637168142,0.00014159292035398232,0.1176470588235294,13.267582482094634,0.00013092082387031092,1.1232837758112095
18,18,frozenset({1413}),frozenset({44024}),0.0012035398230088494,0.005345132743362832,0.0003716814159292035,0.30882352941176466,57.776587456174504,0.0003652483358132978,1.439075127094709
19,19,frozenset({1413}),frozenset({65049}),0.0012035398230088494,0.006778761061946903,0.00017699115044247788,0.14705882352941174,21.694056212563353,0.00016883264155376302,1.1644662801342691
20,20,frozenset({1413}),frozenset({116543}),0.0012035398230088494,0.024,0.00031858407079646023,0.2647058823529412,11.029411764705882,0.00028969911504424776,1.32736
21,21,frozenset({1413}),frozenset({181229}),0.0012035398230088494,0.01886725663716814,0.0001946902654867257,0.16176470588235292,8.573832910274804,0.00017198277077296582,1.1704741499767115
